product,brand,product_code,price,inward_date,dispatch_date,quantity_sold,sales,lap_customer_id,lap_customer_name,customer_location,region,processor_specification,ram,rom,ssd,stock_in_inventory,Product segmentation
0,4,20126,16272,10-12-2023,14-12-2023,5,219725,0,0,5733,3,6,12,1028,512,21,High storage lap
0,2,12100,19173,17-04-2024,22-07-2024,8,529160,1,1,8365,4,7,16,1028,1028,25,High storage lap
0,6,9826,18576,22-06-2024,01-01-2024,10,616850,1,1,9802,4,6,12,256,512,48,Low demand lap
0,2,3631,18069,01-11-2023,19-12-2023,8,463792,2,2,4880,0,7,4,128,2028,18,High ssd lap
0,7,10970,19914,07-04-2024,18-12-2023,3,214809,2,2,8166,4,4,6,64,256,53,Low demand lap
0,1,19127,22113,12-06-2023,05-08-2024,1,88439,3,3,1825,0,0,12,1028,2028,7,High storage lap
0,7,6059,11697,10-01-2025,07-06-2024,10,187510,4,4,14141,1,1,16,1028,1028,27,High storage lap
0,5,24235,18923,16-04-2023,04-12-2024,3,192999,5,5,617,3,2,16,128,512,12,Low demand lap
0,1,6832,5221,18-02-2024,11-07-2023,9,1247814,6,6,7201,1,5,8,128,2028,11,Best selling lap
0,0,9560,1024,25-05-2024,13-08-2024,10,1075820,7,7,9198,4,7,12,512,256,7,Best selling lap
0,0,14179,19280,04-06-2024,27-08-2023,4,267556,8,8,9410,4,0,4,512,512,55,Low demand lap
0,0,2217,2056,28-09-2023,24-11-2024,9,1037313,9,9,4365,2,2,12,128,2028,22,Best selling lap
0,4,534,4428,31-05-2024,06-02-2024,6,798378,10,10,9322,4,3,16,256,512,35,Best selling lap
0,6,3942,23333,04-01-2024,31-10-2023,7,687799,11,11,6242,0,6,4,256,2028,3,High ssd lap
0,6,5874,11235,09-09-2024,03-05-2024,8,1472184,12,12,11539,2,1,4,256,2028,35,Best selling lap
0,2,22115,10131,15-06-2023,20-03-2024,2,351346,13,13,1889,2,5,12,512,1028,42,Low demand lap
0,1,22331,17798,02-04-2023,10-02-2024,2,111898,14,14,274,4,3,12,256,256,59,Low demand lap
0,4,13012,5550,07-06-2023,15-02-2025,5,706400,15,15,1773,1,0,16,256,1028,60,Low demand lap
0,1,11276,6084,26-06-2023,10-04-2025,1,145280,16,16,2169,1,0,6,64,2028,36,High ssd lap
0,8,12944,2900,22-06-2023,08-07-2023,7,852068,17,17,2050,4,4,16,512,2028,9,High ssd lap
0,0,23855,7066,10-07-2023,12-12-2024,7,1066835,18,18,2482,3,1,12,512,512,32,Best selling lap
0,1,17975,7352,28-11-2024,07-01-2025,5,772845,19,19,13164,4,7,8,512,1028,1,Best selling lap
0,8,2929,5391,15-09-2023,06-04-2025,1,139975,20,20,4012,2,6,4,512,1028,17,Low demand lap
0,3,6551,21367,14-07-2024,15-12-2024,5,413705,21,21,10348,2,5,6,64,256,4,Low demand lap
0,4,6417,15650,26-07-2024,23-07-2024,1,39080,22,22,10586,3,1,32,512,512,17,Low demand lap
0,7,12377,21494,07-04-2024,26-05-2024,9,753345,23,23,8160,4,2,12,128,2028,39,High ssd lap
