product,brand,product_code,price,inward_date,dispatch_date,quantity_sold,sales,mobile_customer_id,customer_name,customer_location,region,processor_specification,ram,rom,ssd,stock_in_inventory,cluster
0,12,18982,6835,21-03-2023,27-03-2023,9,61515,7790,7790,151,1,1,4,256,,6,Mid range phone
0,0,17362,172216,21-03-2023,19-05-2023,6,1033296,21702,21702,359,2,6,6,1028,,59,High stroage phone
0,12,19692,74086,21-03-2023,26-04-2023,4,296344,14621,14621,1690,1,4,8,128,,36,Mid range phone
0,9,21137,187538,21-03-2023,03-04-2023,5,937690,13529,13529,3005,1,4,32,256,,13,Gaming phone
0,12,23020,94971,21-03-2023,21-04-2023,9,854739,16760,16760,3154,4,3,16,1028,,31,High stroage phone
0,0,19210,109101,21-03-2023,14-04-2023,1,109101,2906,2906,3425,3,1,6,512,,24,Mid range phone
0,11,10685,136466,21-03-2023,23-03-2023,9,1228194,11373,11373,4406,3,2,8,1028,,2,Preimum phone
0,10,15671,48716,21-03-2023,01-04-2023,2,97432,17616,17616,4423,0,1,32,256,,11,Gaming phone
0,6,12383,78176,21-03-2023,26-03-2023,2,156352,12495,12495,4699,4,2,4,1028,,5,High stroage phone
0,2,2662,12159,21-03-2023,21-04-2023,9,109431,11401,11401,4975,1,4,12,256,,31,Mid range phone
0,10,14202,115155,21-03-2023,29-03-2023,6,690930,4992,4992,5582,2,5,16,64,,8,Mid range phone
0,8,4575,160745,21-03-2023,20-05-2023,4,642980,8554,8554,5819,0,4,16,1028,,60,High stroage phone
0,1,15389,89295,21-03-2023,19-05-2023,10,892950,16764,16764,6380,0,6,12,64,,59,Preimum phone
0,0,13713,135305,21-03-2023,28-03-2023,2,270610,14023,14023,6855,3,4,12,64,,7,Mid range phone
0,3,21170,59326,21-03-2023,12-04-2023,4,237304,6791,6791,7186,3,5,16,512,,22,Mid range phone
0,13,15776,11132,21-03-2023,29-03-2023,10,111320,10899,10899,7503,0,6,32,64,,8,Gaming phone
0,4,12526,176469,21-03-2023,24-03-2023,5,882345,4143,4143,7570,3,1,6,512,,3,Preimum phone
0,2,4628,151836,21-03-2023,24-03-2023,4,607344,1907,1907,7925,3,4,4,1028,,3,High stroage phone
0,9,6716,177218,21-03-2023,29-03-2023,1,177218,14842,14842,8099,2,2,32,64,,8,Gaming phone
0,5,12624,85215,21-03-2023,09-04-2023,8,681720,3227,3227,8162,1,6,16,128,,19,Mid range phone
0,4,21419,109110,21-03-2023,25-04-2023,6,654660,4633,4633,8981,2,2,32,64,,35,Gaming phone
0,9,4576,159207,21-03-2023,14-05-2023,7,1114449,17108,17108,9156,0,2,4,512,,54,Preimum phone
0,1,2694,189564,21-03-2023,15-05-2023,8,1516512,20470,20470,9877,3,2,6,256,,55,Preimum phone
0,8,18888,35530,21-03-2023,09-04-2023,7,248710,16156,16156,10186,4,3,6,1028,,19,High stroage phone
0,10,11907,38523,21-03-2023,02-05-2023,4,154092,11989,11989,10844,2,3,4,512,,42,Mid range phone
0,0,10143,73250,21-03-2023,04-05-2023,10,732500,16508,16508,10986,0,6,4,128,,44,Preimum phone
0,0,11548,172741,21-03-2023,29-04-2023,5,863705,3615,3615,10991,1,6,32,64,,39,Gaming phone
0,6,16949,177463,21-03-2023,05-05-2023,1,177463,21122,21122,11693,1,0,4,64,,45,Mid range phone
0,6,9088,132418,21-03-2023,08-05-2023,10,1324180,14628,14628,11895,2,5,4,512,,48,Preimum phone
0,13,16404,8647,21-03-2023,13-05-2023,4,34588,8478,8478,11977,3,0,6,1028,,53,High stroage phone
0,5,20304,175235,21-03-2023,26-04-2023,2,350470,21463,21463,12040,1,5,4,1028,,36,High stroage phone
0,7,13050,113326,21-03-2023,28-04-2023,5,566630,7215,7215,12586,3,6,16,512,,38,Mid range phone
0,9,22013,33040,21-03-2023,30-03-2023,2,66080,14057,14057,13659,2,0,6,1028,,9,High stroage phone
0,8,855,21562,21-03-2023,19-04-2023,7,150934,13485,13485,13904,3,6,4,64,,29,Mid range phone
0,12,10889,146014,21-03-2023,09-05-2023,2,292028,1961,1961,14263,4,5,6,64,,49,Mid range phone
0,0,19356,94643,21-03-2023,21-04-2023,3,283929,13126,13126,14430,3,0,32,1028,,31,Gaming phone
0,7,20080,120716,21-03-2023,29-03-2023,5,603580,21548,21548,15085,3,4,16,512,,8,Mid range phone
0,4,11224,39295,21-03-2023,19-04-2023,5,196475,3680,3680,15354,0,4,4,1028,,29,High stroage phone
0,0,8249,34780,22-03-2023,13-04-2023,7,243460,6546,6546,600,3,2,4,512,,22,Mid range phone
0,12,24046,94021,22-03-2023,16-04-2023,10,940210,10544,10544,950,3,1,6,512,,25,Preimum phone
0,13,6549,101012,22-03-2023,11-04-2023,6,606072,21134,21134,1358,0,5,12,128,,20,Mid range phone
